,coef,t,quarters
매출성장 1년 ← rpo_g,0.049,7.45,26.0
매출성장 1년 ← log_rpo_cov,0.006,1.502,26.0
매출성장 1년 ← d_rpo_cov,0.084,2.558,26.0
매출성장 2년(누적) ← rpo_g,0.049,3.167,22.0
매출성장 2년(누적) ← log_rpo_cov,0.011,1.329,22.0
매출성장 2년(누적) ← d_rpo_cov,0.071,3.487,22.0
매출성장 3년(누적) ← rpo_g,0.036,2.136,18.0
매출성장 3년(누적) ← log_rpo_cov,0.016,1.471,18.0
매출성장 3년(누적) ← d_rpo_cov,0.116,4.884,18.0
조정이익 성장 1년 (흑자 기업) ← rpo_g,0.028,1.188,26.0
조정이익 성장 1년 (흑자 기업) ← log_rpo_cov,0.013,0.96,26.0
조정이익 성장 1년 (흑자 기업) ← d_rpo_cov,0.078,1.577,26.0
조정 ROE 변화 1년 ← rpo_g,0.007,0.886,26.0
조정 ROE 변화 1년 ← log_rpo_cov,-0.002,-0.507,26.0
조정 ROE 변화 1년 ← d_rpo_cov,-0.003,-0.183,26.0
